név;ch
joghurt;36,5
Reggeli Qurrito;27,6
Reggeli Ciabatta;44,4
Sajtos Toast;28,4
Dupla Toast;35,9
Reggeli Bagel;42,1
Amerikai palacsinta;75,2
Sajtos roller;23,2
Röszti;13
Grander;63,9
Sajtburger;32
Zinger;36,2
Longer;42,3
Itwist calssic;35,5
Itwist Grill;28
Twister;51,5
Twister sajt & Bacon;47
Grill Twister;40
Grill classic;33
Qurrito;59
Halloumi Burger;61
Halloumi Twister;49
alsócomb;5
mell;7,8
meleshát;10,9
felsőcomb;9,3
kentucky füszeres szárny;6,5
főtt kukorica;25
kis burgonya;23,7
normál sültburgonya;35,5
sültburgonya kosárban;81,1
Sütemény csokoládés;45,8
shake epres kicsi;39,4
shake epres nagy;65,7
shake csokoládés kicsi;43,9
shake csokoládés nagy;73,2
shake tejkaramellás kicsi;47,3
shake tejkaramellás nagy;78,9
coffe frappe deluxe kicsi;28,8
coffe frappe deluxe nagy;48,1
shake mogyoróvajas kicsi;32,8
shake mogyoróvajas nagy;52,8
